Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Las Vegas Aces*,40,200.6,30.9,68.1,.454,9.4,26.5,.355,21.5,41.7,.516,15.2,18.3,.828,5.6,28.5,34.1,20.5,7.1,5.0,10.8,16.5,86.4
2,New York Liberty*,40,200.0,30.8,68.7,.448,10.1,29.0,.349,20.6,39.7,.520,14.0,17.2,.814,8.5,28.1,36.6,22.8,7.9,4.5,12.7,15.4,85.6
3,Indiana Fever*,40,200.6,31.3,68.5,.456,9.2,25.9,.356,22.1,42.7,.517,13.3,17.1,.775,8.3,26.8,35.1,20.4,5.9,4.3,14.2,18.2,85.0
4,Dallas Wings,40,201.9,31.7,71.0,.446,6.3,19.2,.326,25.4,51.9,.490,14.7,18.7,.786,10.5,24.3,34.8,20.4,7.1,4.0,14.8,18.5,84.2
5,Seattle Storm*,40,201.2,31.1,71.3,.435,6.1,21.0,.288,25.0,50.3,.497,15.1,18.0,.840,8.7,26.0,34.7,20.7,9.3,5.2,12.4,16.5,83.2
6,Minnesota Lynx*,40,201.9,30.1,67.3,.448,9.5,25.0,.380,20.6,42.3,.488,12.2,15.5,.790,7.4,26.8,34.3,23.0,8.6,4.2,13.4,16.4,82.0
7,Phoenix Mercury*,40,201.2,29.1,66.3,.439,8.5,26.2,.326,20.6,40.2,.512,14.7,18.4,.799,6.7,25.6,32.3,19.9,6.6,4.7,13.3,16.9,81.5
8,Connecticut Sun*,40,201.2,29.3,65.9,.444,5.9,18.0,.327,23.4,48.0,.487,15.7,20.9,.753,8.4,25.1,33.5,19.9,8.2,3.7,12.1,16.1,80.1
9,Washington Mystics,40,201.2,29.0,67.0,.433,9.7,26.6,.366,19.3,40.4,.477,11.5,15.0,.767,7.1,24.8,31.9,21.6,7.3,3.4,15.1,18.4,79.3
10,Los Angeles Sparks,40,200.6,28.1,66.4,.423,7.2,22.6,.320,20.9,43.8,.476,15.0,19.6,.765,7.4,25.3,32.7,19.7,7.3,3.2,15.0,17.9,78.4
11,Chicago Sky,40,200.0,29.7,70.3,.422,4.8,14.9,.323,24.9,55.4,.449,13.2,17.8,.742,10.9,25.8,36.6,19.0,7.0,3.8,13.1,19.0,77.4
12,Atlanta Dream*,40,201.9,27.8,68.1,.408,6.0,19.4,.308,21.8,48.7,.448,15.4,20.0,.771,9.2,26.9,36.1,18.4,7.2,3.7,12.5,16.9,77.0
,League Average,40,201.0,29.9,68.3,.438,7.7,22.8,.338,22.2,45.4,.488,14.2,18.0,.785,8.2,26.2,34.4,20.5,7.4,4.1,13.3,17.2,81.7